-1,-1,1,1
(1,0),(0.5669872981077806766181384146,0.1160254037844386467637231707),(.25, 0.4330127018922193233818615854)
(.25, 0.4330127018922193233818615854),(.1919872980,.3325317547),(.1339745960,.2320508073)
(.1339745960,.2320508073),(-.224744871,.507305937),(-.5,0.8660254037844386467637231707)
(-.5,0.8660254037844386467637231707),(-0.3839745962155613532362768292,0.4330127018922193233818615853),(-.5,0)
(-.5,0),(-.3839745961,0),(-.2679491922,0)
(-.2679491922,0),(-.3269673935,-.4482877364),(-.5,-0.8660254037844386467637231707)
(-.5,-0.8660254037844386467637231707),(-0.1830127018922193233818615853,-0.5490381056766579701455847561),(.25,-0.4330127018922193233818615853)
(.25,-0.4330127018922193233818615853),(.1919872982,-.3325317547),(.1339745963,-.2320508074)
(.1339745963,-.2320508074),(.5517122638,-.059018200),(1,0)
(1,0),(.5517122638,.059018200),(.1339745963,.2320508074)
(.1339745963,.2320508074),(.06698729800,.1160254037),(0,0)
(0,0),(-.25,0.4330127018922193233818615853),(-.5,0.8660254037844386467637231707)
(-.5,0.8660254037844386467637231707),(-.3269673926,.4482877361),(-.2679491922,0)
(-.2679491922,0),(-.1339745961,0),(0,0)
(0,0),(-.25,-0.4330127018922193233818615853),(-.5,-0.8660254037844386467637231707)
(-.5,-0.8660254037844386467637231707),(-.2247448714, -.5073059364),(.1339745962,-.2320508074)
(.1339745962,-.2320508074),(.06698729810,-.1160254037),(0,0)
(0,0),(0.5,0),(1,0)
